FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
20636		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for cheesecake	Categorical single
20637		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for cherries	Categorical single
20638		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for chicken	Categorical single
20639		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for chilli pepper	Categorical single
20640		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for chips/french fries	Categorical single
20641		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for cigarette smoking	Categorical single
20642		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for cod	Categorical single
20643		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for coffee with sugar	Categorical single
20644		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for coffee without sugar 	Categorical single
20645		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for coriander	Categorical single
20646		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for corn flakes	Categorical single
20647		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for cream	Categorical single
20648		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for croissant	Categorical single
20649		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for cucumber	Categorical single
20650		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for curry	Categorical single
20651		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for dairy products	Categorical single
20652		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for dark chocolate	Categorical single
20653		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for diet fizzy drinks	Categorical single
20654		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for dried fruit	Categorical single
20655		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for eggs	Categorical single
20656		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for exercising alone	Categorical single
20657		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for exercising with others	Categorical single
20658		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for extra virgin olive oil	Categorical single
20659		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for fatty foods	Categorical single
20660		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for fresh tomatoes	Categorical single
20661		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for fried chicken	Categorical single
20662		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for fried/battered fish	Categorical single
20663		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for fruit	Categorical single
20664		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for garlic	Categorical single
20665		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for gherkins	Categorical single
20666		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for globe artichoke	Categorical single
20667		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for goat's cheese	Categorical single
20668		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for going to a cafe	Categorical single
20669		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for going to the gym	Categorical single
20670		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for going to the pub	Categorical single
20671		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for grapefruit	Categorical single
20672		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for green olives	Categorical single
20673		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for haddock	Categorical single
20674		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for ham	Categorical single
20675		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for hard cheese	Categorical single
20676		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for herring	Categorical single
20677		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for honey	Categorical single
20678		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for horseradish/wasabi	Categorical single
20679		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for ice cream	Categorical single
20680		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for jam	Categorical single
20681		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for kiwi fruit	Categorical single
20682		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for lager	Categorical single
20683		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for lamb	Categorical single
20684		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for lemons	Categorical single
20685		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for lentils/beans	Categorical single
20686		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for liver	Categorical single
20687		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for mackerel	Categorical single
20688		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for marzipan	Categorical single
20689		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for mayonnaise	Categorical single
20690		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for melon	Categorical single
20691		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for milk chocolate	Categorical single
20692		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for mushrooms	Categorical single
20693		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for onions	Categorical single
20694		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for orange juice	Categorical single
20695		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for oranges	Categorical single
20696		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for pasta	Categorical single
20697		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for pears	Categorical single
20698		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for pizza	Categorical single
20699		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for plain yogurt	Categorical single
20700		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for plums	Categorical single
20701		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for pollock	Categorical single
20702		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for pork chop	Categorical single
20703		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for porridge	Categorical single
20704		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for potato crisps	Categorical single
20705		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for potatoes	Categorical single
20706		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for prawns	Categorical single
20707		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for raw carrots	Categorical single
20708		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for red meat	Categorical single
20709		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for red wine	Categorical single
20710		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for regular (non-diet) fizzy drinks	Categorical single
20711		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for roast chicken	Categorical single
20712		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for salad dressing	Categorical single
20713		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for salad leaves	Categorical single
20714		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for salami	Categorical single
20715		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for salmon	Categorical single
20716		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for salty foods	Categorical single
20717		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for salty pretzels	Categorical single
20718		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for sardines	Categorical single
20719		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for sausages (meat)	Categorical single
20720		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for savoury biscuits	Categorical single
20721		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for shellfish (other than prawns)	Categorical single
20722		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for skimmed milk	Categorical single
20723		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for smoked fish	Categorical single
20724		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for soft cheese	Categorical single
20725		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for soy sauce	Categorical single
20726		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for soya milk	Categorical single
20727		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for spicy foods	Categorical single
20728		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for spinach	Categorical single
20729		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for spirits	Categorical single
20730		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for strawberries	Categorical single
20731		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for sweet coffee house drinks	Categorical single
20732		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for sweet foods	Categorical single
20733		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for taking the stairs	Categorical single
20734		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for tea with sugar	Categorical single
20735		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for tea without sugar	Categorical single
20736		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for tomato ketchup	Categorical single
20737		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for tinned tuna	Categorical single
20738		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for turnip (white)	Categorical single
20739		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for vegetables	Categorical single
20740		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for vinegar	Categorical single
20741		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for watching television	Categorical single
20742		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for whisky	Categorical single
20743		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for white bread	Categorical single
20744		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for white rice	Categorical single
20745		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for white wine	Categorical single
20746		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for whole grain breakfast cereal	Categorical single
20747		YES  				96	Online follow-up > Food (and other) preferences	1039	Liking for whole milk	Categorical single
20748		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for wholemeal bread	Categorical single
20749		YES				96	Online follow-up > Food (and other) preferences	1039	Liking for working up a sweat	Categorical single
20751		YES					Online follow-up > Food (and other) preferences	1039	Duration of questionnaire	Integer
21000		YES  				1001	Assessment centre > Touchscreen > Sociodemographics > Ethnicity	100065	Ethnic background	Categorical single
21001		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Body mass index (BMI)	Continuous
21002		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Weight	Continuous
21003		YES-AGE					Assessment centre > Recruitment > Reception	100024	Age when attended assessment centre	Integer
21004		YES					Assessment centre > Cognitive function > Tower rearranging	503	Number of puzzles correct	Integer
21005		YES  					"Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	L1-L4 TBS (trabecular bone score)	Continuous
21007		YES					Genomics > Imputation	100319	Imputation from genotype (TOPmed)	Integer
21008		YES  					Genomics > Imputation	100319	Imputation from genotype (Genomics England)	Integer
21021		YES					Assessment centre > Physical measures > Arterial stiffness	100007	Pulse wave Arterial Stiffness index	Continuous
21022		YES-AGE					Population characteristics > Baseline characteristics	100094	Age at recruitment	Integer
21024						502	Online follow-up > Digestive health	153	Ever diagnosed with IBS	Categorical single
21025		YES				871	Online follow-up > Digestive health	153	Frequency of discomfort/pain in abdomen in last 3 months	Categorical single
21026		YES  				1022	Online follow-up > Digestive health	153	Discomfort/pain occurring only during menstrual bleed	Categorical single
21027		YES				503	Online follow-up > Digestive health	153	Abdominal discomfort/pain for 6 months or longer	Categorical single
21028		YES				950	Online follow-up > Digestive health	153	Frequency of discomfort/pain getting better or stopping after a bowel movement	Categorical single
21029		YES  				950	Online follow-up > Digestive health	153	More frequent bowel movements when abdominal discomfort/pain started	Categorical single
21030		YES				950	Online follow-up > Digestive health	153	Less frequent bowel movements when abdominal discomfort/pain started	Categorical single
21031		YES				950	Online follow-up > Digestive health	153	Stools looser when abdominal discomfort/pain started	Categorical single
21032		YES  				950	Online follow-up > Digestive health	153	Frequency of harder stools when abdominal discomfort/pain started	Categorical single
21033		YES				950	Online follow-up > Digestive health	153	Frequency of hard/lumpy stools in the last 3 months	Categorical single
21034		YES				950	Online follow-up > Digestive health	153	Frequency of loose/mushy/watery stools in the last 3 months	Categorical single
21035		YES  				503	Online follow-up > Digestive health	153	Currently (in last 3 months) suffer from abdominal pain	Categorical single
21036		YES				408	Online follow-up > Digestive health	153	Severity of current abdominal pain	Categorical single
21037		YES				913	Online follow-up > Digestive health	153	Number of days (out of 10) with abdominal pain	Categorical single
21038		YES  				503	Online follow-up > Digestive health	153	Currently suffer from abdominal distension	Categorical single
21039		YES				620	Online follow-up > Digestive health	153	Severity of current abdominal distension/tightness	Categorical single
21040		YES				616	Online follow-up > Digestive health	153	Satisfaction with bowel habits	Categorical single
21041		YES  				548	Online follow-up > Digestive health	153	Degree to which abdominal pain/discomfort/altered bowel habits affect/interfere with life in general	Categorical single
21042		YES				584	Online follow-up > Digestive health	153	Greatest number of times bowels opened per day	Integer
21043		YES				584	Online follow-up > Digestive health	153	Least number of times bowels opened per week	Integer
21044		YES  				584	Online follow-up > Digestive health	153	Average number of times bowels opened per day	Integer
21045		YES				957	Online follow-up > Digestive health	153	"Number of weeks absent from work due to IBS, in the last year"	Integer
21046		YES-DATE					Online follow-up > Digestive health	153	When gave up work due to IBS	Date
21047		YES				42	Online follow-up > Digestive health	153	Number of weeks (in the last year) at work suffering because of IBS	Integer
21048		YES  				339	Online follow-up > Digestive health	153	Degree bothered by back pain in the past 3 months	Categorical single
21049		YES				339	Online follow-up > Digestive health	153	Degree bothered by pain in arms/legs/joints in the past 3 months	Categorical single
21050		YES  				1018	Online follow-up > Digestive health	153	Degree bothered by menstrual cramps or other problems with period in the last 3 months	Categorical single
21051		YES				339	Online follow-up > Digestive health	153	Degree bothered by headaches in the last 3 months	Categorical single
21052		YES				339	Online follow-up > Digestive health	153	Degree bothered by chest pain in the last 3 months	Categorical single
21053		YES  				339	Online follow-up > Digestive health	153	Degree bothered by dizziness in the last 3 months	Categorical single
21054		YES				339	Online follow-up > Digestive health	153	Degree bothered by fainting spells in the last 3 months	Categorical single
21055		YES				339	Online follow-up > Digestive health	153	Degree bothered by feeling heart pound/race in the last 3 months	Categorical single
21056		YES  				339	Online follow-up > Digestive health	153	Degree bothered by shortness of breath in the last 3 months	Categorical single
21057		YES				1018	Online follow-up > Digestive health	153	Degree bothered by pain/problems during intercourse in the last 3 months	Categorical single
21058		YES  				339	Online follow-up > Digestive health	153	Degree bothered by urinary frequency/bladder irritability in the last 3 months	Categorical single
21059		YES				339	Online follow-up > Digestive health	153	Degree bothered by nausea in the last 3 months	Categorical single
21060		YES				339	Online follow-up > Digestive health	153	Degree bothered by feeling tired all the time in the last 3 months	Categorical single
21061		YES  				339	Online follow-up > Digestive health	153	Degree bothered by trouble sleeping in the last 3 months	Categorical single
21062		YES				503	Online follow-up > Digestive health	153	Ever been offered/sought treatment for anxiety	Categorical single
21063		YES				503	Online follow-up > Digestive health	153	Ever been offered/sought treatment for depression	Categorical single
21064						502	Online follow-up > Digestive health	153	Sensitive stomach	Categorical single
21065						502	Online follow-up > Digestive health	153	Family history of IBS	Categorical single
21066		YES				502	Online follow-up > Digestive health	153	Born by caesarian section	Categorical single
21067		YES				502	Online follow-up > Digestive health	153	Long-term/recurrent antibiotics as child or teenager	Categorical single
21068		YES  				502	Online follow-up > Digestive health	153	Diagnosed with coeliac disease or gluten sensitivity	Categorical single
21069		YES				1862	Online follow-up > Digestive health	153	Method of coeliac disease/gluten sensitivity diagnosis	Categorical single
21070		YES  				2730	Online follow-up > Digestive health	153	Speed of onset of IBS symptoms	Categorical single
21071		YES				503	Online follow-up > Digestive health	153	Infectious illness diagnosis status when IBS symptoms first began	Categorical single
21072		YES				7310	Online follow-up > Digestive health	153	Infection diagnosed alongside IBS when IBS symptoms began	Categorical single
21073		YES  				503	Online follow-up > Digestive health	153	Fever when IBS symptoms first began	Categorical single
21074		YES				503	Online follow-up > Digestive health	153	Diarrhoea when IBS symptoms first began	Categorical single
21075		YES				1021	Online follow-up > Digestive health	153	Bloody diarrhoea when IBS symptoms first began	Categorical single
21076		YES				503	Online follow-up > Digestive health	153	Vomiting when IBS symptoms first began	Categorical single
21080		YES  					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Liver volume	Continuous
21081		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Left kidney volume	Continuous
21082		YES  					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Right kidney volume	Continuous
21083		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Spleen volume	Continuous
21084		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Lung volume	Continuous
21085		YES  					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Visceral fat volume	Continuous
21086		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Subcutaneous fat volume	Continuous
21087		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Pancreas volume	Continuous
21088		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Liver PDFF (fat fraction)	Continuous
21089		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Liver iron	Continuous
21090		YES  					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Pancreas PDFF (fat fraction)	Continuous
21091		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Pancreas iron	Continuous
21092		YES  					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Liver PDFF (fat fraction) - gradient echo	Continuous
21093		YES					Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition	158	Liver iron (Fe) - gradient echo	Continuous
21100		YES					Additional exposures > Local environment > Water minerals	603	Water hardness (USGS classification)	Categorical single
21101		YES  					Additional exposures > Local environment > Water minerals	603	Water hardness (WHO classification)	Categorical single
21102		YES					Additional exposures > Local environment > Water minerals	603	Year of survey	Categorical single
21103		YES					Additional exposures > Local environment > Water minerals	603	CaCO3 concentration	Integer
21104		YES					Additional exposures > Local environment > Water minerals	603	Ca concentration	Integer
21105		YES  					Additional exposures > Local environment > Water minerals	603	Mg concentration	Integer
21110		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Android fat free mass	Integer
21111		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Android tissue mass	Integer
21112		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm bone mass (left)	Integer
21113		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm bone mass (right)	Integer
21114		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm fat free mass (left)	Integer
21115		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm fat free mass (right)	Integer
21116		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm tissue mass (left)	Integer
21117		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm tissue mass (left)	Integer
21118		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arm tissue mass (right)	Integer
21119		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms bone mass	Integer
21120		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms fat free mass	Integer
21121		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms tissue mass	Integer
21122		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Femur total bone mass	Integer
21123		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Gynoid fat free mass	Integer
21124		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Gynoid tissue mass	Integer
21125		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg bone mass (left)	Integer
21126		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg bone mass (right)	Integer
21127		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg fat free mass (left)	Integer
21128		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg fat free mass (right)	Integer
21129		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg tissue mass (left)	Integer
21130		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg tissue mass (right)	Integer
21131		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs bone mass	Integer
21132		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs fat free mass	Integer
21133		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs tissue mass	Integer
21134		YES  					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Trunk bone mass	Integer
21135		YES					Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Trunk tissue mass	Integer
21136		YES					"Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	B2-B4 area	Continuous
21137		YES					"Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	B2-B4 BMC (bone mineral content)	Continuous
21138		YES  					"Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	B2-B4 BMD (bine mineral density)	Continuous
21139		YES					Assessment centre > Imaging > DXA assessment	103	DXA measurement QC Flag	Integer
21160		YES					Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma total	Continuous
21161		YES					Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma (left)	Continuous
21162		YES  					Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma (right)	Continuous
21163		YES					Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney distance	Continuous
21164		YES					Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney fusion	Categorical single
21611		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Reception duration	Integer
21621		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Consent duration	Integer
21622		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Touchscreen duration	Integer
21625		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Touchscreen cognitive duration	Integer
21631		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Verbal interview duration	Integer
21634		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Biometrics duration	Integer
21636		YES					Assessment centre > Procedural metrics > Process durations	152	Eye measures duration	Integer
21642		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Sample collection duration	Integer
21651		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Conclusion duration	Integer
21661		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Imaging screening duration	Integer
21662		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Brain MRI duration	Integer
21663		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Chest MRI duration	Integer
21664		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	DXA assessment duration	Integer
21665		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Carotid ultrasound duration	Integer
21666		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	ECG at rest duration	Integer
21671		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Cardiac monitor duration	Integer
21711		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Reception authorisation	Categorical single
21721		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Consent authorisation	Categorical single
21722		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen authorisation	Categorical single
21723		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen cognitive authorisation (pilot)	Categorical single
21725		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen cognitive authorisation	Categorical single
21731		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Verbal interview authorisation	Categorical single
21732		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Pilot Spirometry authorisation	Categorical single
21733		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Measurement/Impedance authorisation (pilot)	Categorical single
21734		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Biometrics authorisation	Categorical single
21736		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Eye measures authorisation	Categorical single
21738		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	ECG during exercise authorisation	Categorical single
21741		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Urine collection authorisation	Categorical single
21742		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Sample collection authorisation	Categorical single
21751		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Conclusion authorisation	Categorical single
21761		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Imaging screening authorisation	Categorical single
21762		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Brain MRI authorisation	Categorical single
21763		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Chest MRI authorisation	Categorical single
21764		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	DXA assessment authorisation	Categorical single
21765		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Carotid ultrasound authorisation	Categorical single
21766		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	ECG at rest authorisation	Categorical single
21771		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Cardiac monitor authorisation	Categorical single
22000		YES-GENETIC				22000	Genomics > Genotypes > Genotyping process and sample QC	100313	Genotype measurement batch	Categorical single
22001		YES-GENETIC				9	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic sex	Categorical single
22003		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Heterozygosity	Continuous
22004		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	"Heterozygosity, PCA corrected"	Continuous
22005		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Missingness	Continuous
22006		YES-GENETIC				1002	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic ethnic grouping	Categorical single
22009		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic principal components	Continuous
22010		YES-GENETIC				1101	Genomics > Genotypes > Interim genotype release	199001	Recommended genomic analysis exclusions	Categorical single
22011		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness pairing	Integer
22012		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness factor	Continuous
22013		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness IBS0	Continuous
22017		YES-DATE					Online follow-up > Cognitive function online	116	"Invitation to complete online cognitive function questionnaire, date sent"	Date
22018		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness exclusions	Categorical single
22019		YES-GENETIC				1	Genomics > Genotypes > Genotyping process and sample QC	100313	Sex chromosome aneuploidy	Categorical single
22020		YES-GENETIC				1	Genomics > Genotypes > Genotyping process and sample QC	100313	Used in genetic principal components	Categorical single
22021		YES-GENETIC				682	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic kinship to other participants	Categorical single
22022		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Sex inference X probe-intensity	Continuous
22023		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Sex inference Y probe-intensity	Continuous
